,srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,label,total_bytes,total_packets,total_bits,bpp,bps,pps,var_iat,avg_iat,pct_packets_pushed,avg_payload_length,iopr
0,147.32.84.180,1027,74.125.232.195,80,6,7,1082,3,205,40,154,433,190,40,68,117,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1082,3,205,2,1,0,0,296,128,0,1,1287,10,10296,128.7,0.0,0.0,0.0,0.0,0.7,86.3,0.42857142857142855
1,147.32.84.180,1040,94.63.149.152,80,6,32,1476,11,26238,40,46,130,22,40,2385,5880,2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1476,11,26238,2,2,0,0,1296,448,0,1,27714,43,221712,644.5116279069767,0.0,0.0,0.0,0.0,0.7441860465116279,603.953488372093,0.34375
2,147.32.84.180,1041,60.190.223.75,2012,6,60,2618,28,57221,40,43,141,18,40,2043,5880,1291,0,0,1,0,0,0,1,0,2,2,2,2,0,0,0,0,0,60,2618,28,57221,2,1,0,0,2416,1128,0,1,59839,88,478712,679.9886363636364,39892666666.666664,7333333.333333333,0.0,0.0,0.6818181818181818,639.7159090909091,0.4666666666666667
3,147.32.84.180,1044,60.190.223.75,888,6,9,1006,3,1882,40,111,355,137,48,627,1576,828,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,9,1006,3,1882,2,2,0,0,376,128,0,1,2888,12,23104,240.66666666666666,3850666666.6666665,2000000.0,0.0,0.0,0.75,198.66666666666666,0.3333333333333333
4,147.32.84.180,1046,147.32.84.171,139,6,21,2906,11,1364,40,138,316,91,40,124,344,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2906,11,1364,16,8,0,0,856,448,0,1,4270,32,34160,133.4375,0.0,0.0,0.0,0.0,0.65625,92.6875,0.5238095238095238
5,147.32.84.180,1045,122.224.6.164,82,6,118,5106,56,131035,40,43,225,23,40,2339,4420,1076,0,0,2,0,4,0,4,0,7,7,7,7,0,0,0,0,0,118,5106,56,131035,2,1,0,0,4736,2252,0,1,136141,174,1089128,782.419540229885,25931619047.619045,4142857.1428571423,0.0,0.0,0.6781609195402298,742.2586206896551,0.4745762711864407
6,147.32.84.180,1047,60.190.223.75,888,6,12,1450,5,401,40,120,517,185,40,80,231,84,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,12,1450,5,401,2,2,0,0,496,208,0,1,1851,17,14808,108.88235294117646,2468000000.0,2833333.3333333335,0.0,0.0,0.7058823529411765,67.47058823529412,0.4166666666666667
7,147.32.84.180,1042,195.88.191.59,80,6,60,2772,33,39033,40,46,125,21,40,1182,3112,615,0,0,6,0,0,0,7,1,13,13,13,13,0,0,0,0,0,60,2772,33,39033,4,5,0,0,2432,1324,0,1,41805,93,334440,449.51612903225805,4287692307.692308,1192307.6923076923,0.5,0.0,0.6451612903225806,409.1290322580645,0.55
8,147.32.84.180,1049,60.190.223.75,888,6,12,1466,5,401,40,122,525,188,40,80,231,84,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,12,1466,5,401,2,2,0,0,496,208,0,1,1867,17,14936,109.82352941176471,2489333333.3333335,2833333.3333333335,0.0,0.0,0.7058823529411765,68.41176470588235,0.4166666666666667
9,147.32.84.180,1051,94.63.150.20,80,6,18,1338,8,9258,40,74,341,97,40,1157,2740,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1338,8,9258,2,1,0,0,736,328,0,1,10596,26,84768,407.53846153846155,0.0,0.0,0.0,0.0,0.6923076923076923,366.61538461538464,0.4444444444444444
10,147.32.84.180,1050,61.147.99.179,81,6,41,2026,19,35286,40,49,225,40,48,1857,2960,908,0,0,1,0,0,0,1,0,3,3,3,3,0,0,0,0,0,41,2026,19,35286,2,10,0,0,1656,768,0,1,37312,60,298496,621.8666666666667,16583111111.11111,3333333.333333333,0.0,0.0,0.6833333333333333,581.4666666666667,0.4634146341463415
11,147.32.84.180,1054,94.63.149.152,80,6,50,2194,20,45612,40,43,129,17,40,2280,8800,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2194,20,45612,2,4,0,0,2016,808,0,1,47806,70,382448,682.9428571428572,0.0,0.0,0.0,0.0,0.7142857142857143,642.6,0.4
12,147.32.84.180,1053,60.190.223.75,888,6,12,1458,5,401,40,121,521,186,40,80,231,84,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,12,1458,5,401,2,2,0,0,496,208,0,1,1859,17,14872,109.3529411764706,2478666666.6666665,2833333.3333333335,0.0,0.0,0.7058823529411765,67.94117647058823,0.4166666666666667
13,147.32.84.180,1055,60.190.223.75,888,6,12,1466,5,401,40,122,525,188,40,80,231,84,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,12,1466,5,401,2,2,0,0,496,208,0,1,1867,17,14936,109.82352941176471,2489333333.3333335,2833333.3333333335,0.0,0.0,0.7058823529411765,68.41176470588235,0.4166666666666667
14,147.32.84.180,1058,94.63.150.20,80,6,10,1350,5,454,40,135,507,196,40,90,286,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1350,5,454,2,1,0,0,416,208,0,1,1804,15,14432,120.26666666666667,0.0,0.0,0.0,0.0,0.6666666666666666,78.66666666666667,0.5
15,147.32.84.180,1052,195.88.191.59,80,6,36,1824,21,30727,40,50,224,42,40,1463,2784,785,0,0,2,0,1,0,2,0,7,7,7,7,0,0,0,0,0,36,1824,21,30727,2,4,0,0,1456,848,0,1,32551,57,260408,571.0701754385965,6200190476.190475,1357142.857142857,0.0,0.0,0.631578947368421,530.6491228070175,0.5833333333333334
16,147.32.84.180,1057,222.88.205.195,443,6,10,720,2,88,40,72,164,48,40,44,48,5,0,1,6,2,6,6,6,0,10,10,10,10,0,0,0,0,0,10,720,2,88,4,0,0,0,432,88,0,1,808,12,6464,67.33333333333333,107733333.33333333,200000.0,2.0,3.5,0.8333333333333334,24.0,0.2
17,147.32.84.180,1059,94.63.150.20,80,6,10,1358,5,454,40,135,511,197,40,90,286,109,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,1358,5,454,2,1,0,0,416,208,0,1,1812,15,14496,120.8,2416000000.0,2500000.0,0.0,0.0,0.6666666666666666,79.2,0.5
18,147.32.84.180,1112,174.123.157.154,80,6,10,1132,4,431,40,113,398,150,40,107,303,130,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,10,1132,4,431,2,1,0,0,416,168,0,1,1563,14,12504,111.64285714285714,2084000000.0,2333333.3333333335,0.0,0.0,0.7142857142857143,69.92857142857143,0.4
19,147.32.84.180,1060,195.88.191.59,80,6,322,13284,204,246592,40,41,226,14,40,1208,3112,410,0,0,3,0,1,0,3,0,55,55,55,55,0,0,0,0,0,322,13284,204,246592,2,35,0,0,12912,8164,0,1,259876,526,2079008,494.0608365019011,6300024242.424242,1593939.393939394,0.0,0.0,0.6121673003802282,453.99239543726236,0.6335403726708074
20,147.32.84.180,1265,94.63.150.20,80,6,10,1356,5,454,40,135,510,197,40,90,286,109,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,10,1356,5,454,2,1,0,0,416,208,0,1,1810,15,14480,120.66666666666667,2413333333.3333335,2500000.0,0.0,0.0,0.6666666666666666,79.06666666666666,0.5
21,147.32.84.180,1269,94.63.150.20,80,6,10,1358,5,454,40,135,511,197,40,90,286,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1358,5,454,2,1,0,0,416,208,0,1,1812,15,14496,120.8,0.0,0.0,0.0,0.0,0.6666666666666666,79.2,0.5
